STT,type,name,score-text,Main Ingredients,Calories (Approx.),Suitable Time,Origin / Province
1,Noodle Soup,Pho,4.4,"Rice noodles, bone broth (beef/chicken), herbs, onion",350 - 500,Breakfast / Dinner,Nam Dinh / Hanoi (Northern Vietnam)
2,Sandwich type,Bánh mì,4.6,"Baguette, pate, cucumber, cilantro, pickled carrots, chili",350 - 500,Breakfast / Lunch / Snack,Nationwide (Popularized in Saigon)
3,Pancake,Crispy Vietnamese Pancake (Bánh xèo),4.2,"Rice flour, turmeric, coconut milk, shrimp, pork, bean sprouts",300 - 450 (per cake),Lunch / Dinner,South & Central Vietnam
4,Appetizer,Vietnamese Fried Spring Rolls (Chả giò),4.3,"Minced pork, mushroom, glass noodles, egg, rice paper wrapper",150 - 200 (per roll),Appetizer / Main Course,Nationwide
5,Side Dish,Vietnamese Crullers (Quẩy),3.7,"Wheat flour, baking powder, yeast (deep-fried)",100 - 150 (per pair),Breakfast (Side dish for Pho/Porridge),Nationwide (Chinese origin)
6,Stew,Vietnamese Beef Stew (Bò kho),4.4,"Beef shank, carrots, lemongrass, five-spice powder, annatto oil",400 - 550,Breakfast / Lunch,Southern Vietnam
7,Noodle Soup,Beef pho (Phở bò),4.5,"Beef slices/balls, rice noodles, beef bone broth, ginger, anise",400 - 500,Breakfast / Dinner,Nam Dinh / Hanoi
8,Noodle Soup,Chicken Pho (Phở gà),4.2,"Shredded chicken, rice noodles, chicken broth, lime leaves",350 - 450,Breakfast / Dinner,Hanoi
9,Noodle Soup,Hue Breakfast Noodle Soup (Bún bò Huế),4.3,"Thick rice vermicelli, beef shank, pork knuckles, lemongrass, shrimp paste",450 - 600,Breakfast / Lunch,Thua Thien Hue
10,Dessert,Chè,3.7,"Beans (mung/black), coconut milk, jelly, fruit, sticky rice, sugar",200 - 500,Dessert / Snack,Nationwide
11,Noodle Dish,Quang-Style Noodles (Mì Quảng),4.5,"Wide rice noodles, pork, shrimp, turmeric broth, peanuts, rice cracker",400 - 550,Breakfast / Lunch,Quang Nam / Da Nang
12,Sauce,Vietnamese Fish Sauce (Nước chấm),4.4,"Fish sauce, water, sugar, lime juice, garlic, chili",30 - 50 (per serving),Condiment (Side),Nationwide
13,Sandwich,Meat and Cold Cuts Bánh Mì (Bánh mì thịt),4.4,"Baguette, ham, head cheese, pate, pork floss, mayonnaise",450 - 550,Breakfast / Lunch,Ho Chi Minh City (Saigon)
14,Fish Soup,Sweet and Sour Tamarind Soup (Canh chua),3.9,"Tamarind pulp, pineapple, tomatoes, fish/shrimp, elephant ear stalks",100 - 150 (excluding rice),Lunch / Dinner,Mekong Delta (Southern Vietnam)
15,Appetizer,Vietnamese Summer Rolls (Gỏi cuốn),4.1,"Rice paper, shrimp, pork belly, vermicelli, lettuce, herbs",50 - 70 (per roll),Appetizer / Light Meal,Southern Vietnam
16,Pork Dish,Grilled Pork Meatballs with Vermicelli Noodles (Bún chả),4.4,"Grilled pork patties/belly, vermicelli, dipping sauce with papaya",500 - 650,Lunch,Hanoi
17,Rice Dish,Broken Rice (Cơm tấm),4.3,"Broken rice, grilled pork chop, egg meatloaf, fried egg, scallion oil",600 - 800,Breakfast / Lunch,Ho Chi Minh City (Saigon)
18,Rice Dish,Vietnamese Steamed Savory Rice Cake (Bánh bèo),4.2,"Rice flour batter, dried shrimp, crispy pork skin, scallion oil",40 - 60 (per small bowl),Snack / Light Meal,Hue (Central Vietnam)
19,Street Food,Steamed Rice Rolls Stuffed with Pork and Mushrooms (Bánh cuốn),4,"Fermented rice batter, minced pork, wood ear mushrooms, fried shallots",300 - 450,Breakfast,Northern Vietnam
20,Rice Dish,Xôi,3.7,"Glutinous rice, mung bean, chicken/pork floss/peanuts/corn",300 - 600,Breakfast,Nationwide
21,Noodle Dish,Grilled Pork and Rice Vermicelli (Bún thịt nướng),4.4,"Vermicelli, grilled pork, peanuts, scallion oil, pickled carrots, fish sauce",450 - 550,Lunch / Dinner,Southern / Central Vietnam
22,Noodle Dish,Tomato and Crab Noodle Soup (Bún riêu),4.1,"Vermicelli, freshwater crab paste, tomatoes, tofu, pork blood curd",350 - 450,Breakfast / Lunch,Northern Vietnam
23,Rice Dish,Sticky Rice Cakes with Mung Beans or Pork (Bánh tét),4.1,"Glutinous rice, mung bean, pork belly, banana leaf (boiled)",200 - 300 (per slice),Tet Holiday / Breakfast,Southern / Central Vietnam
24,Stew,Vietnamese Chicken Curry (Cà ri gà),4.2,"Chicken, sweet potatoes, potatoes, coconut milk, curry powder, lemongrass",400 - 550,Lunch / Dinner / Parties,Southern Vietnam
25,Dessert,Coconut Jelly (Rau câu),4.3,"Agar powder, coconut water, coconut milk, sugar, pandan leaf",60 - 100,Dessert / Snack,Nationwide
26,Noodle Dish,Vietnamese Thick Noodle Soup (Bánh canh),3.9,"Thick tapioca/rice noodles, broth (pork/crab), quail eggs, pork knuckle",350 - 500,Breakfast / Lunch / Dinner,Southern / Central Vietnam
27,Rice Dish,Vietnamese Fried Rice (Cơm chiên),4.1,"Rice, egg, sausage , mixed vegetables, garlic",500 - 700,Breakfast / Lunch / Dinner,Nationwide
28,Snack,Deep-Fried Glutinous Rice Balls (Bánh rán),4,"Glutinous rice flour, mung bean paste, sesame seeds, sugar glaze",200 - 300,Snack,Northern (B�nh R�n) / Southern (B�nh Cam)
29,Dessert,Floating Glutinous Rice Dumplings (Bánh trôi),3.5,"Glutinous rice flour, brown sugar cube filling, sesame seeds",50 - 80 (per ball),Snack / Cold Food Festival,Northern Vietnam
30,Cake,Steamed Tapioca Layer Cake (Bánh da lợn),4,"Tapioca starch, rice flour, mung bean, coconut milk, pandan",150 - 250,Dessert / Snack,Southern Vietnam
31,Dessert,Mung Bean Cake (Bánh đậu xanh),3.8,"Mung bean powder, sugar, oil/fat",50 - 80 (per cube),Snack (Tea pairing),Hai Duong
32,Snack,Vietnamese Steamed Buns (Bánh bao),4.2,"Flour, yeast, ground pork, wood ear mushroom, quail egg, sausage",250 - 350,Breakfast / Snack,Nationwide (Chinese origin)
33,Rice Dish,Burnt Rice (Cơm cháy),3.9,"Crispy dried rice crust, pork floss, scallion oil, chili paste",150 - 200 (per piece),Snack,Ninh Binh / Ho Chi Minh City
34,Noodle Dish,Rice Vermicelli Noodles with Fried Tofu and Shrimp Paste (Bún đậu mắm tôm),4.1,"Pressed vermicelli, fried tofu, fermented shrimp paste, boiled pork, herbs",550 - 700,Lunch,Hanoi
35,Ground Meat Dish,Grilled Beef Wrapped in Betel Leaf (Bò lá lốt),4.3,"Minced beef, spices, wild betel leaves (Piper sarmentosum)",50 - 70 (per roll),Dinner / Snack,Southern Vietnam
36,Noodle Dish,Southern Vietnamese Beef Noodle Salad (Bún bò nam bộ),4.5,"Vermicelli, stir-fried beef, lettuce, bean sprouts, peanuts, dried shallots",450 - 550,Lunch / Dinner,"Hanoi (despite the name ""Nam Bo"")"
37,Noodle Dish,Fermented Fish Noodle Soup (Bún mắm),3.7,"Fermented fish broth, thick vermicelli, eggplant, roast pork, seafood",400 - 550,Lunch / Dinner,Mekong Delta (Western Region)
38,Noodle Dish,Roasted Pork with Cao Lau Noodles (Cao lầu),4,"Thick rice noodles (lye water), char siu pork, croutons, herbs",350 - 450,Breakfast / Lunch,Hoi An (Quang Nam)
39,Dessert,Vietnamese Crème Caramel (Bánh flan),3.9,"Eggs, milk, condensed milk, caramel sauce, coffee",100 - 150,Dessert / Snack,Nationwide (French origin)
